Value of x = 1.500000000000 

 Value of h  		 Second Derivative 		 Error in second derivative
0.000000000032494 	|	 841191.454856698630000 	|	 0.000029355666496
0.000000000035743 	|	 0.000000000000000 	|	 0.000011961529373
0.000000000039318 	|	 0.000000000000000 	|	 0.000003851322560
0.000000000043249 	|	 0.000000000000000 	|	 0.000016173025363
0.000000000047574 	|	 0.000000000000000 	|	 0.000004971477361
0.000000000052332 	|	 0.000000000000000 	|	 0.000006908952337
0.000000000057565 	|	 0.000000000000000 	|	 0.000009994778232
0.000000000063322 	|	 0.000000000000000 	|	 0.000004384185692
0.000000000069654 	|	 0.000000000000000 	|	 0.000009642295653
0.000000000076619 	|	 0.000000000000000 	|	 0.000014701184366
0.000000000084281 	|	 0.000000000000000 	|	 0.000006270541935
0.000000000092709 	|	 0.000000000000000 	|	 0.000014892789875
0.000000000101980 	|	 0.000000000000000 	|	 0.000003396826970
0.000000000112178 	|	 0.000000000000000 	|	 0.000004520756078
0.000000000123396 	|	 0.000000000000000 	|	 0.000000517705863
0.000000000135735 	|	 0.000000000000000 	|	 0.000007988788319
0.000000000149309 	|	 0.000000000000000 	|	 0.000009857003678
0.000000000164240 	|	 0.000000000000000 	|	 0.000001745280044
0.000000000180664 	|	 0.000000000000000 	|	 0.000000270421203
0.000000000198730 	|	 0.000000000000000 	|	 0.000002858067250
0.000000000218603 	|	 0.000000000000000 	|	 0.000000392310365
0.000000000240463 	|	 0.000000000000000 	|	 0.000001131032552
0.000000000264510 	|	 0.000000000000000 	|	 0.000003145729422
0.000000000290961 	|	 0.000000000000000 	|	 0.000001127869997
0.000000000320057 	|	 0.000000000000000 	|	 0.000000572857085
0.000000000352063 	|	 0.000000000000000 	|	 0.000002086528661
0.000000000387269 	|	 0.000000000000000 	|	 0.000001857184481
0.000000000425996 	|	 4894.291745150264400 	|	 0.000001440195066
0.000000000468595 	|	 0.000000000000000 	|	 0.000001402914584
0.000000000515455 	|	 0.000000000000000 	|	 0.000000320182169
0.000000000567000 	|	 0.000000000000000 	|	 0.000000619688789
0.000000000623700 	|	 0.000000000000000 	|	 0.000001046902861
0.000000000686070 	|	 0.000000000000000 	|	 0.000001024438092
0.000000000754677 	|	 0.000000000000000 	|	 0.000001682427928
0.000000000830145 	|	 0.000000000000000 	|	 0.000000778359362
0.000000000913160 	|	 0.000000000000000 	|	 0.000000388812477
0.000000001004475 	|	 0.000000000000000 	|	 0.000000830923022
0.000000001104923 	|	 0.000000000000000 	|	 0.000000027085668
0.000000001215415 	|	 0.000000000000000 	|	 0.000000027085670
0.000000001336957 	|	 496.895896187249210 	|	 0.000001168705435
0.000000001470653 	|	 0.000000000000000 	|	 0.000000643099271
0.000000001617718 	|	 339.386583011576480 	|	 0.000000423486580
0.000000001779490 	|	 0.000000000000000 	|	 0.000000075633173
0.000000001957439 	|	 0.000000000000000 	|	 0.000000302505788
0.000000002153182 	|	 191.574878320067030 	|	 0.000000632502316
0.000000002368501 	|	 0.000000000000000 	|	 0.000000295005864
0.000000002605351 	|	 0.000000000000000 	|	 0.000000226824760
0.000000002865886 	|	 0.000000000000000 	|	 0.000000269037796
0.000000003152474 	|	 0.000000000000000 	|	 0.000000266268371
0.000000003467722 	|	 73.860408759580864 	|	 0.000000266268371
0.000000003814494 	|	 61.041660131884989 	|	 0.000000173131149
0.000000004195943 	|	 0.000000000000000 	|	 0.000000186717199
0.000000004615538 	|	 0.000000000000000 	|	 0.000000109744293
0.000000005077092 	|	 34.456425791652087 	|	 0.000000257626408
0.000000005584801 	|	 28.476384951778577 	|	 0.000000139960931
0.000000006143281 	|	 23.534202439486421 	|	 0.000000019074002
0.000000006757609 	|	 19.449754082220181 	|	 0.000000111077683
0.000000007433370 	|	 16.074176927454694 	|	 0.000000008407619
0.000000008176707 	|	 26.568887483396182 	|	 0.000000008407619
0.000000008994377 	|	 21.957758250740639 	|	 0.000000169339107
0.000000009893815 	|	 18.146907645240198 	|	 0.000000052636710
0.000000010883197 	|	 14.997444334909252 	|	 0.000000020812352
0.000000011971516 	|	 12.394582094966321 	|	 0.000000028231450
0.000000013168668 	|	 15.365184415247505 	|	 0.000000093171956
0.000000014485535 	|	 16.931332688977964 	|	 0.000000142223837
0.000000015934088 	|	 13.992836933039637 	|	 0.000000153371991
0.000000017527497 	|	 14.455410054793013 	|	 0.000000107765902
0.000000019280247 	|	 14.335943855993071 	|	 0.000000130799280
0.000000021208271 	|	 15.797183312389057 	|	 0.000000126611392
0.000000023329099 	|	 16.319404248335797 	|	 0.000000237019319
0.000000025662008 	|	 16.184533138845417 	|	 0.000000254324635
0.000000028228209 	|	 15.604921759217341 	|	 0.000000238592526
0.000000031051030 	|	 15.660193028730506 	|	 0.000000235732142
0.000000034156133 	|	 15.226245044949440 	|	 0.000000269536669
0.000000037571747 	|	 15.729591988584133 	|	 0.000000302632011
0.000000041328921 	|	 15.599595360579306 	|	 0.000000321973444
0.000000045461813 	|	 15.900414003896259 	|	 0.000000390352247
0.000000050007995 	|	 15.626942509971752 	|	 0.000000381471882
0.000000055008794 	|	 15.850016820782766 	|	 0.000000452514796
0.000000060509674 	|	 15.767540455324147 	|	 0.000000476000058
0.000000066560641 	|	 15.837707513930168 	|	 0.000000509359803
0.000000073216705 	|	 15.574270387168484 	|	 0.000000563948476
0.000000080538375 	|	 15.609871849280879 	|	 0.000000638938979
0.000000088592213 	|	 15.729825917428171 	|	 0.000000683051039
0.000000097451434 	|	 15.712056329912196 	|	 0.000000761431970
0.000000107196578 	|	 15.690414379044544 	|	 0.000000853401141
0.000000117916236 	|	 15.650171081976602 	|	 0.000000915165858
0.000000129707859 	|	 15.679206649846686 	|	 0.000001023356827
0.000000142678645 	|	 15.706693363232340 	|	 0.000001113619718
0.000000156946509 	|	 15.721116405806471 	|	 0.000001240383903
0.000000172641160 	|	 15.704428587952100 	|	 0.000001359739793
0.000000189905276 	|	 15.687927941608491 	|	 0.000001486952967
0.000000208895804 	|	 15.692609264735454 	|	 0.000001645544256
0.000000229785385 	|	 15.694123167291782 	|	 0.000001801700436
0.000000252763923 	|	 15.695096291065363 	|	 0.000001981258962
0.000000278040315 	|	 15.694062275249275 	|	 0.000002179952081
0.000000305844347 	|	 15.685896493781565 	|	 0.000002397463256
0.000000336428781 	|	 15.686524268639737 	|	 0.000002638761002
0.000000370071660 	|	 15.681400899445952 	|	 0.000002899402891
0.000000407078826 	|	 15.687939774240817 	|	 0.000003191550463
0.000000447786708 	|	 15.684971987956732 	|	 0.000003512081709
0.000000492565379 	|	 15.686399688278414 	|	 0.000003863158633
